,Codi_Districte,Nom_Districte,Nom_Barri,AEB,Seccio_Censal,Valor,Codi_Barri,_id,Any
53,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",19,1055,48,4,54,2024
54,2,Eixample,el Fort Pienc,20,2001,48,5,55,2024
55,2,Eixample,el Fort Pienc,20,2002,508,5,56,2024
56,2,Eixample,el Fort Pienc,20,2003,34,5,57,2024
57,2,Eixample,el Fort Pienc,20,2004,62,5,58,2024
58,2,Eixample,el Fort Pienc,20,2005,96,5,59,2024
59,2,Eixample,el Fort Pienc,20,2006,60,5,60,2024
60,2,Eixample,el Fort Pienc,20,2007,43,5,61,2024
61,2,Eixample,el Fort Pienc,20,2008,66,5,62,2024
62,2,Eixample,el Fort Pienc,20,2009,72,5,63,2024
63,2,Eixample,el Fort Pienc,21,2010,58,5,64,2024
64,2,Eixample,el Fort Pienc,21,2011,50,5,65,2024
65,2,Eixample,el Fort Pienc,21,2012,86,5,66,2024
66,2,Eixample,el Fort Pienc,21,2013,51,5,67,2024
67,2,Eixample,el Fort Pienc,22,2014,71,5,68,2024
68,2,Eixample,el Fort Pienc,22,2015,65,5,69,2024
69,2,Eixample,el Fort Pienc,22,2016,76,5,70,2024
70,2,Eixample,el Fort Pienc,22,2017,83,5,71,2024
71,2,Eixample,el Fort Pienc,22,2018,66,5,72,2024
72,2,Eixample,el Fort Pienc,22,2019,86,5,73,2024
73,2,Eixample,el Fort Pienc,22,2020,76,5,74,2024
74,2,Eixample,la Sagrada Família,23,2021,65,6,75,2024
75,2,Eixample,la Sagrada Família,23,2022,49,6,76,2024
76,2,Eixample,la Sagrada Família,23,2023,32,6,77,2024
77,2,Eixample,la Sagrada Família,23,2024,63,6,78,2024
78,2,Eixample,la Sagrada Família,24,2025,47,6,79,2024
79,2,Eixample,la Sagrada Família,24,2026,98,6,80,2024
80,2,Eixample,la Sagrada Família,24,2027,82,6,81,2024
81,2,Eixample,la Sagrada Família,24,2028,92,6,82,2024
82,2,Eixample,la Sagrada Família,24,2029,51,6,83,2024
83,2,Eixample,la Sagrada Família,24,2030,61,6,84,2024
84,2,Eixample,la Sagrada Família,24,2031,26,6,85,2024
85,2,Eixample,la Sagrada Família,24,2032,48,6,86,2024
86,2,Eixample,la Sagrada Família,25,2033,54,6,87,2024
87,2,Eixample,la Sagrada Família,25,2034,65,6,88,2024
88,2,Eixample,la Sagrada Família,25,2035,74,6,89,2024
89,2,Eixample,la Sagrada Família,25,2036,37,6,90,2024
90,2,Eixample,la Sagrada Família,25,2037,39,6,91,2024
91,2,Eixample,la Sagrada Família,25,2038,42,6,92,2024
92,2,Eixample,la Sagrada Família,25,2039,90,6,93,2024
93,2,Eixample,la Sagrada Família,25,2040,79,6,94,2024
94,2,Eixample,la Sagrada Família,26,2041,58,6,95,2024
95,2,Eixample,la Sagrada Família,26,2042,76,6,96,2024
96,2,Eixample,la Sagrada Família,26,2043,56,6,97,2024
97,2,Eixample,la Sagrada Família,26,2044,72,6,98,2024
98,2,Eixample,la Sagrada Família,26,2045,39,6,99,2024
99,2,Eixample,la Sagrada Família,26,2046,82,6,100,2024
